tipo_tarifa,origen,destino,tarifa
adulto_mayor,Quillem,Lautaro,550.0
adulto_mayor,Quillem,L. Centro,550.0
adulto_mayor,Quillem,Pillanlelbun,650.0
adulto_mayor,Quillem,Coleg. Claret,0.0
adulto_mayor,Quillem,Cajon,350.0
adulto_mayor,Quillem,Temuco,700.0
adulto_mayor,Quillem,PLC,850.0
adulto_mayor,Quillem,Quepe,900.0
adulto_mayor,Quillem,Freire,1150.0
adulto_mayor,Quillem,Pitrufquén,1200.0
adulto_mayor,Lautaro,Victoria,700.0
adulto_mayor,Lautaro,PUA,650.0
adulto_mayor,Lautaro,Perquenco,550.0
adulto_mayor,Lautaro,Quillem,550.0
adulto_mayor,Lautaro,Lautaro,0.0
adulto_mayor,Lautaro,L. Centro,550.0
adulto_mayor,Lautaro,Pillanlelbun,550.0
adulto_mayor,Lautaro,Coleg. Claret,0.0
adulto_mayor,Lautaro,Cajon,300.0
adulto_mayor,Lautaro,Temuco,650.0
adulto_mayor,Lautaro,PLC,800.0
adulto_mayor,Lautaro,Quepe,850.0
adulto_mayor,Lautaro,Freire,1100.0
adulto_mayor,Lautaro,Pitrufquén,1150.0
adulto_mayor,L. Centro,Victoria,700.0
adulto_mayor,L. Centro,PUA,650.0
adulto_mayor,L. Centro,Perquenco,550.0
adulto_mayor,L. Centro,Quillem,550.0
adulto_mayor,L. Centro,Lautaro,550.0
adulto_mayor,L. Centro,L. Centro,0.0
adulto_mayor,L. Centro,Pillanlelbun,550.0
adulto_mayor,L. Centro,Coleg. Claret,0.0
adulto_mayor,L. Centro,Cajon,300.0
adulto_mayor,L. Centro,Temuco,650.0
adulto_mayor,L. Centro,PLC,800.0
adulto_mayor,L. Centro,Quepe,850.0
adulto_mayor,L. Centro,Freire,1100.0
adulto_mayor,L. Centro,Pitrufquén,1150.0
adulto_mayor,Pillanlelbun,Victoria,750.0
adulto_mayor,Pillanlelbun,PUA,700.0
adulto_mayor,Pillanlelbun,Perquenco,650.0
adulto_mayor,Pillanlelbun,Quillem,650.0
adulto_mayor,Pillanlelbun,Lautaro,550.0
adulto_mayor,Pillanlelbun,L. Centro,550.0
adulto_mayor,Pillanlelbun,Pillanlelbun,0.0
adulto_mayor,Pillanlelbun,Coleg. Claret,0.0
adulto_mayor,Pillanlelbun,Cajon,300.0
adulto_mayor,Pillanlelbun,Temuco,600.0
adulto_mayor,Pillanlelbun,PLC,750.0
adulto_mayor,Pillanlelbun,Quepe,800.0
adulto_mayor,Pillanlelbun,Freire,1050.0
adulto_mayor,Pillanlelbun,Pitrufquén,1100.0
adulto_mayor,Coleg. Claret,Victoria,0.0
adulto_mayor,Coleg. Claret,PUA,0.0
adulto_mayor,Coleg. Claret,Perquenco,0.0
adulto_mayor,Coleg. Claret,Quillem,0.0
adulto_mayor,Coleg. Claret,Lautaro,0.0
adulto_mayor,Coleg. Claret,L. Centro,0.0
adulto_mayor,Coleg. Claret,Pillanlelbun,0.0
adulto_mayor,Coleg. Claret,Coleg. Claret,0.0
adulto_mayor,Coleg. Claret,Cajon,0.0
adulto_mayor,Coleg. Claret,Temuco,500.0
adulto_mayor,Coleg. Claret,PLC,0.0
adulto_mayor,Coleg. Claret,Quepe,0.0
adulto_mayor,Coleg. Claret,Freire,0.0
adulto_mayor,Coleg. Claret,Pitrufquén,0.0
adulto_mayor,Cajon,Victoria,450.0
adulto_mayor,Cajon,PUA,400.0
adulto_mayor,Cajon,Perquenco,400.0
adulto_mayor,Cajon,Quillem,350.0
adulto_mayor,Cajon,Lautaro,300.0
adulto_mayor,Cajon,L. Centro,300.0
adulto_mayor,Cajon,Pillanlelbun,300.0
adulto_mayor,Cajon,Coleg. Claret,0.0
adulto_mayor,Cajon,Cajon,0.0
adulto_mayor,Cajon,Temuco,300.0
adulto_mayor,Cajon,PLC,650.0
adulto_mayor,Cajon,Quepe,700.0
adulto_mayor,Cajon,Freire,1000.0
adulto_mayor,Cajon,Pitrufquén,1050.0
adulto_mayor,Temuco,Victoria,900.0
adulto_mayor,Temuco,PUA,750.0
adulto_mayor,Temuco,Perquenco,700.0
adulto_mayor,Temuco,Quillem,700.0
adulto_mayor,Temuco,Lautaro,650.0
adulto_mayor,Temuco,L. Centro,650.0
adulto_mayor,Temuco,Pillanlelbun,600.0
adulto_mayor,Temuco,Coleg. Claret,500.0
adulto_mayor,Temuco,Cajon,300.0
adulto_mayor,Temuco,Temuco,0.0
adulto_mayor,Temuco,PLC,350.0
adulto_mayor,Temuco,Quepe,400.0
adulto_mayor,Temuco,Freire,700.0
adulto_mayor,Temuco,Pitrufquén,750.0
adulto_mayor,PLC,Victoria,950.0
adulto_mayor,PLC,PUA,850.0
adulto_mayor,PLC,Perquenco,850.0
adulto_mayor,PLC,Quillem,850.0
adulto_mayor,PLC,Lautaro,800.0
adulto_mayor,PLC,L. Centro,800.0
adulto_mayor,PLC,Pillanlelbun,750.0
adulto_mayor,PLC,Coleg. Claret,0.0
adulto_mayor,PLC,Cajon,650.0
adulto_mayor,PLC,Temuco,350.0
adulto_mayor,PLC,PLC,0.0
adulto_mayor,PLC,Quepe,300.0
adulto_mayor,PLC,Freire,650.0
adulto_mayor,PLC,Pitrufquén,700.0
adulto_mayor,Quepe,Victoria,1000.0
adulto_mayor,Quepe,PUA,900.0
adulto_mayor,Quepe,Perquenco,900.0
adulto_mayor,Quepe,Quillem,900.0
adulto_mayor,Quepe,Lautaro,850.0
adulto_mayor,Quepe,L. Centro,850.0
adulto_mayor,Quepe,Pillanlelbun,800.0
adulto_mayor,Quepe,Coleg. Claret,0.0
adulto_mayor,Quepe,Cajon,700.0
adulto_mayor,Quepe,Temuco,400.0
adulto_mayor,Quepe,PLC,300.0
adulto_mayor,Quepe,Quepe,0.0
adulto_mayor,Quepe,Freire,300.0
adulto_mayor,Quepe,Pitrufquén,350.0
adulto_mayor,Freire,Victoria,1300.0
adulto_mayor,Freire,PUA,1150.0
adulto_mayor,Freire,Perquenco,1150.0
adulto_mayor,Freire,Quillem,1150.0
adulto_mayor,Freire,Lautaro,1100.0
adulto_mayor,Freire,L. Centro,1100.0
adulto_mayor,Freire,Pillanlelbun,1050.0
adulto_mayor,Freire,Coleg. Claret,0.0
adulto_mayor,Freire,Cajon,1000.0
adulto_mayor,Freire,Temuco,700.0
adulto_mayor,Freire,PLC,650.0
adulto_mayor,Freire,Quepe,300.0
adulto_mayor,Freire,Freire,0.0
adulto_mayor,Freire,Pitrufquén,300.0
adulto_mayor,Pitrufquén,Victoria,1350.0
adulto_mayor,Pitrufquén,PUA,1200.0
adulto_mayor,Pitrufquén,Perquenco,1200.0
adulto_mayor,Pitrufquén,Quillem,1200.0
adulto_mayor,Pitrufquén,Lautaro,1150.0
adulto_mayor,Pitrufquén,L. Centro,1150.0
adulto_mayor,Pitrufquén,Pillanlelbun,1100.0
adulto_mayor,Pitrufquén,Coleg. Claret,0.0
adulto_mayor,Pitrufquén,Cajon,1050.0
adulto_mayor,Pitrufquén,Temuco,750.0
adulto_mayor,Pitrufquén,PLC,700.0
adulto_mayor,Pitrufquén,Quepe,350.0
adulto_mayor,Pitrufquén,Freire,300.0
adulto_mayor,Pitrufquén,Pitrufquén,0.0
estudiante_sin_subsidio,Victoria,Victoria,0.0
estudiante_sin_subsidio,Victoria,PUA,1200.0
estudiante_sin_subsidio,Victoria,Perquenco,1400.0
estudiante_sin_subsidio,Victoria,Quillem,1400.0
estudiante_sin_subsidio,Victoria,Lautaro,1500.0
estudiante_sin_subsidio,Victoria,L. Centro,1500.0
estudiante_sin_subsidio,Victoria,Pillanlelbun,1600.0
estudiante_sin_subsidio,Victoria,Coleg. Claret,0.0
estudiante_sin_subsidio,Victoria,Cajon,950.0
estudiante_sin_subsidio,Victoria,Temuco,1950.0
estudiante_sin_subsidio,Victoria,PLC,2050.0
estudiante_sin_subsidio,Victoria,Quepe,2150.0
estudiante_sin_subsidio,Victoria,Freire,2750.0
estudiante_sin_subsidio,Victoria,Pitrufquén,2900.0
estudiante_sin_subsidio,PUA,Victoria,1200.0
estudiante_sin_subsidio,PUA,PUA,0.0
estudiante_sin_subsidio,PUA,Perquenco,1300.0
estudiante_sin_subsidio,PUA,Quillem,1300.0
estudiante_sin_subsidio,PUA,Lautaro,1400.0
estudiante_sin_subsidio,PUA,L. Centro,1400.0
estudiante_sin_subsidio,PUA,Pillanlelbun,1500.0
estudiante_sin_subsidio,PUA,Coleg. Claret,0.0
estudiante_sin_subsidio,PUA,Cajon,900.0
estudiante_sin_subsidio,PUA,Temuco,1600.0
estudiante_sin_subsidio,PUA,PLC,1800.0
estudiante_sin_subsidio,PUA,Quepe,1900.0
estudiante_sin_subsidio,PUA,Freire,2500.0
estudiante_sin_subsidio,PUA,Pitrufquén,2600.0
estudiante_sin_subsidio,Perquenco,Victoria,1400.0
estudiante_sin_subsidio,Perquenco,PUA,1300.0
estudiante_sin_subsidio,Perquenco,Perquenco,0.0
estudiante_sin_subsidio,Perquenco,Quillem,1200.0
estudiante_sin_subsidio,Perquenco,Lautaro,1200.0
estudiante_sin_subsidio,Perquenco,L. Centro,1200.0
estudiante_sin_subsidio,Perquenco,Pillanlelbun,1400.0
estudiante_sin_subsidio,Perquenco,Coleg. Claret,0.0
estudiante_sin_subsidio,Perquenco,Cajon,900.0
