tipo_pasajero,origen,destino,tipo_pasajero_visual,tipo_tarifa_venta,factor_venta,paga_tarifa,aplica_subsidio_normal,aplica_subsidio_estudiante,tarifa_venta_base,tarifa_estudiante_sin_subsidio,falta_tarifa_venta,falta_tarifa_estudiante_sin_subsidio
discapacitado,PUA,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1600.0,False,False
discapacitado,PUA,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Perquenco,Cajon,Discapacitado,sin_pago,0.0,0,0,0,,900.0,False,False
discapacitado,Perquenco,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Perquenco,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Perquenco,PUA,Discapacitado,sin_pago,0.0,0,0,0,,1300.0,False,False
discapacitado,Perquenco,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,Perquenco,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Perquenco,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,Pillanlelbun,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Pillanlelbun,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Pillanlelbun,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,Pillanlelbun,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1300.0,False,False
discapacitado,Pillanlelbun,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1600.0,False,False
discapacitado,Pitrufquén,Freire,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Pitrufquén,PLC,Discapacitado,sin_pago,0.0,0,0,0,,1550.0,False,False
discapacitado,Pitrufquén,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,2400.0,False,False
discapacitado,Pitrufquén,Quepe,Discapacitado,sin_pago,0.0,0,0,0,,700.0,False,False
discapacitado,Pitrufquén,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1550.0,False,False
discapacitado,Quepe,Freire,Discapacitado,sin_pago,0.0,0,0,0,,600.0,False,False
discapacitado,Quepe,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,1800.0,False,False
discapacitado,Quepe,PLC,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Quepe,Pitrufquén,Discapacitado,sin_pago,0.0,0,0,0,,700.0,False,False
discapacitado,Quepe,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,900.0,False,False
discapacitado,Quillem,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Quillem,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Quillem,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Quillem,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,Temuco,Cajon,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Temuco,Freire,Discapacitado,sin_pago,0.0,0,0,0,,1450.0,False,False
discapacitado,Temuco,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,1350.0,False,False
discapacitado,Temuco,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,1350.0,False,False
discapacitado,Temuco,PLC,Discapacitado,sin_pago,0.0,0,0,0,,750.0,False,False
discapacitado,Temuco,PUA,Discapacitado,sin_pago,0.0,0,0,0,,1600.0,False,False
discapacitado,Temuco,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Temuco,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,1300.0,False,False
discapacitado,Temuco,Pitrufquén,Discapacitado,sin_pago,0.0,0,0,0,,1550.0,False,False
discapacitado,Temuco,Quepe,Discapacitado,sin_pago,0.0,0,0,0,,900.0,False,False
discapacitado,Temuco,Quillem,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Temuco,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1950.0,False,False
discapacitado,Victoria,Cajon,Discapacitado,sin_pago,0.0,0,0,0,,950.0,False,False
discapacitado,Victoria,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Victoria,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Victoria,PUA,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Victoria,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,Victoria,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,1600.0,False,False
discapacitado,Victoria,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1950.0,False,False
estudiante,Cajon,L. Centro,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
