mes,mes_nombre,grupo_subsidio_referencial,origen,destino,viajes_observados_base_referencial
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Pedro Medina,7.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,UTFSM,6.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Alborada,10.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,C. Raúl Silva H.,2.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Chiguayante,3.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Concepción,94.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Costa Mar,10.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Cristo Redentor,47.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Diagonal Biobío,1.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,El Arenal,1.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,El Parque,16.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Higueras,9.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Hito Galvarino,2.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Hualqui,16.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Huinca,4.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Intermodal Coronel,37.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Juan Pablo II,10.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,La Leonera,4.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Laguna Quiñenco,24.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Lomas Coloradas,7.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Lorenzo Arenas,24.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Los Canelos,13.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Los Cóndores,7.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Manquimávida,6.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Mercado,5.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,Pedro Medina,0.0
1,Enero,sin_subsidio_adulto_mayor,El Arenal,UTFSM,5.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Alborada,0.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,C. Raúl Silva H.,28.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Chiguayante,9.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Concepción,203.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Costa Mar,22.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Cristo Redentor,161.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Diagonal Biobío,56.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,El Arenal,4.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,El Parque,10.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Higueras,10.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Hito Galvarino,21.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Hualqui,21.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Huinca,106.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Intermodal Coronel,131.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Juan Pablo II,38.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,La Leonera,30.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Laguna Quiñenco,166.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Lomas Coloradas,94.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Lorenzo Arenas,10.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Los Canelos,155.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Los Cóndores,1.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Manquimávida,1.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Mercado,12.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,Pedro Medina,2.0
1,Enero,sin_subsidio_adulto_mayor,El Parque,UTFSM,1.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Alborada,12.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,C. Raúl Silva H.,26.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Chiguayante,31.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Concepción,157.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Costa Mar,43.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Cristo Redentor,43.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Diagonal Biobío,0.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,El Arenal,3.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,El Parque,15.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Higueras,6.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Hito Galvarino,7.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Hualqui,16.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Huinca,9.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Intermodal Coronel,46.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Juan Pablo II,23.0
