anio,mes,estacion,factor_origen,factor_destino,total_mes
2023,9,Huinca,0.03828720643685543,0.03534119933105908,734893.0
2023,9,Intermodal Coronel,0.07679621387059068,0.06356027340034535,734893.0
2023,9,Juan Pablo II,0.06803575486499396,0.09140922556072789,734893.0
2023,9,La Leonera,0.013770712198918754,0.011495551053010438,734893.0
2023,9,Laguna Quiñenco,0.05614014557221255,0.04956367797761035,734893.0
2023,9,Lomas Coloradas,0.06989044663644911,0.06358748824658828,734893.0
2023,9,Lorenzo Arenas,0.007548037605474538,0.008386254869756549,734893.0
2023,9,Los Canelos,0.06916925321101167,0.06265674050508033,734893.0
2023,9,Los Cóndores,0.013097144754406424,0.012038487235556741,734893.0
2023,9,Manquimávida,0.011781306938561125,0.010929482251157651,734893.0
2023,9,Mercado,0.012248041551627243,0.011864312219602038,734893.0
2023,9,Pedro Medina,0.007941292133684767,0.00811274566501518,734893.0
2023,9,UTFSM,0.012129656970470531,0.012043930204805325,734893.0
2023,10,Alborada,0.014227742997626873,0.013964551776540742,908085.0
2023,10,C. Raúl Silva H.,0.05261291619176619,0.04365670614534983,908085.0
2023,10,Chiguayante,0.013765231228354173,0.012409631256985855,908085.0
2023,10,Concepción,0.21688938810794145,0.23993458762120287,908085.0
2023,10,Costa Mar,0.05748580804660357,0.048785080691785464,908085.0
2023,10,Cristo Redentor,0.06394225210195081,0.05579764008875821,908085.0
2023,10,Diagonal Biobío,0.03343189238892835,0.04844590539431881,908085.0
2023,10,El Arenal,0.008946299079931944,0.008191964408618135,908085.0
2023,10,El Parque,0.02357048073693542,0.020993629450987518,908085.0
2023,10,Higueras,0.011808365956931344,0.011896463436792811,908085.0
2023,10,Hito Galvarino,0.02891799776452645,0.029175682893121238,908085.0
2023,10,Hualqui,0.016468722641602932,0.019593980739688464,908085.0
2023,10,Huinca,0.038567975464851856,0.03559798917502216,908085.0
2023,10,Intermodal Coronel,0.07610631163382282,0.0648221256820672,908085.0
2023,10,Juan Pablo II,0.07040530346828766,0.09204314574076215,908085.0
2023,10,La Leonera,0.013302719459081474,0.011257756707797177,908085.0
2023,10,Laguna Quiñenco,0.053976224692622386,0.04848224560476167,908085.0
2023,10,Lomas Coloradas,0.07298105353573729,0.06984478325266907,908085.0
2023,10,Lorenzo Arenas,0.007107264187823827,0.008025680415379618,908085.0
2023,10,Los Canelos,0.06908714492586046,0.06309211142128765,908085.0
2023,10,Los Cóndores,0.012577016468722642,0.011397611457077256,908085.0
2023,10,Manquimávida,0.011515441836391967,0.010677414559209765,908085.0
2023,10,Mercado,0.012159654657878943,0.011887653688806664,908085.0
2023,10,Pedro Medina,0.008150118105683939,0.007873712262618588,908085.0
2023,10,UTFSM,0.01199667432013523,0.012151946128391065,908085.0
2023,11,Alborada,0.014368663279841355,0.014066600668054914,966687.0
2023,11,C. Raúl Silva H.,0.05263647902578601,0.04452113248652356,966687.0
2023,11,Chiguayante,0.013256617705627572,0.012701112149020314,966687.0
2023,11,Concepción,0.26103381963344907,0.2795723952013423,966687.0
2023,11,Costa Mar,0.05882462472341099,0.05129167972673678,966687.0
2023,11,Cristo Redentor,0.06090285687094168,0.054432303320516365,966687.0
2023,11,Diagonal Biobío,0.03122313634092524,0.04221531891915377,966687.0
2023,11,El Arenal,0.008343962420100819,0.008203275724200284,966687.0
2023,11,El Parque,0.023399507803456548,0.021201278180010698,966687.0
2023,11,Higueras,0.012230432394353084,0.012399049537233873,966687.0
2023,11,Hito Galvarino,0.028996976270499138,0.029076629767442824,966687.0
2023,11,Hualqui,0.015862424962785265,0.019304076707352017,966687.0
2023,11,Huinca,0.037306801477624094,0.035447875061938354,966687.0
2023,11,Intermodal Coronel,0.07557668614556728,0.0647117422702488,966687.0
2023,11,Juan Pablo II,0.042387039445032366,0.062415238851872425,966687.0
2023,11,La Leonera,0.012932831412856487,0.011547688134835785,966687.0
2023,11,Laguna Quiñenco,0.047756926492235854,0.04304185325756941,966687.0
2023,11,Lomas Coloradas,0.07225399741591643,0.06743547808132312,966687.0
2023,11,Lorenzo Arenas,0.0073312251018168234,0.008309825207124954,966687.0
2023,11,Los Canelos,0.06614343629323659,0.062334550893929475,966687.0
2023,11,Los Cóndores,0.012925590185861608,0.011872508888606137,966687.0
2023,11,Manquimávida,0.011207350466076403,0.010856668187324335,966687.0
2023,11,Mercado,0.012610079581084673,0.012100090308445235,966687.0
2023,11,Pedro Medina,0.007972590921363378,0.008330514427110327,966687.0
2023,11,UTFSM,0.012515943630151228,0.012611114042083942,966687.0
