alpha,beta,funcion,lambda,train_MAE,train_RMSE,train_MAPE_pct,train_Correlacion,train_Desviacion_abs_total,train_Desviacion_pct_total,train_CPC,train_R2,valid_MAE,valid_RMSE,valid_MAPE_pct,valid_Correlacion,valid_Desviacion_abs_total,valid_Desviacion_pct_total,valid_CPC,valid_R2,score
0.25,0.75,potencial,0.75,31285.49355572493,84647.25303808574,82.03554956081696,0.7893054456580737,0.0,0.0,0.6983751139405348,0.6203284219450163,1087.7335984185033,2995.1958771303357,81.61020748771159,0.8196144838747156,0.0,0.0,0.6968211497879022,0.6717361951420764,2443.907860713103
0.75,0.25,potencial,1.5,31297.079382336156,84145.8562280578,75.2077014550046,0.7916287593019051,3.725290298461914e-09,-1.1493022577361418e-14,0.6982634144519113,0.6248129694529175,1096.7329826943537,3026.2203556462377,74.25520400021487,0.8154324602949153,0.0,0.0,0.6943127938987983,0.6649006102723842,2471.6543674660325
0.5,0.5,exponencial,1.5,32911.36586680176,89790.17007347867,72.98964315381254,0.7612884993913752,3.725290298461914e-09,-1.1493022577361418e-14,0.6827000040145148,0.5727914482463865,1150.6297501748638,3213.952255089829,71.01717129903646,0.7894556447415735,0.0,0.0,0.6792904023696152,0.6220351770031289,2640.8938259836577
0.75,0.25,exponencial,2.0,34226.05748762203,94134.02950813957,73.0726068151977,0.736613355038016,3.725290298461914e-09,-1.1493022577361418e-14,0.6700250014729395,0.5304566994306608,1208.2731268245623,3426.1802936511544,71.33150932968434,0.7585265708157571,0.0,0.0,0.6632237361561162,0.5704705299400852,2834.9748388247876
0.25,0.75,exponencial,1.5,35679.868210204484,98062.69267037814,76.793187985967,0.7146096500111385,3.725290298461914e-09,-1.1493022577361418e-14,0.6560087452559835,0.49044627847059774,1250.0297183558528,3521.9661673994997,74.30361520802316,0.7442730920846716,0.0,0.0,0.651585118550078,0.5461180625682815,2924.9044421971157
0.75,0.25,potencial,2.0,36007.46006820314,98720.31241567845,78.64846376435955,0.7097430502195158,7.450580596923828e-09,-2.2986045154722837e-14,0.652850417046558,0.4835891105871166,1272.5381545541495,3640.9099157323412,76.78325325002571,0.726179458460407,0.0,0.0,0.6453114484008854,0.5149434116566838,3034.9573386647457
0.25,0.75,potencial,1.0,35961.51480297993,100140.87548971802,86.7099717440291,0.7027426042424979,0.0,0.0,0.6532933774672792,0.46862010673274235,1261.8444773961926,3645.767526560908,84.77692334677197,0.7265462681904706,0.0,0.0,0.648292046545507,0.513648247539551,3037.850621116933
0.5,0.5,potencial,1.5,36909.01769095165,101959.69638427213,83.57397730119112,0.6913257693921366,0.0,0.0,0.6441584584315146,0.44914231012465,1301.616297876742,3739.6917552964546,81.43140750252701,0.7114219559824669,0.0,0.0,0.6372066348034532,0.48826613963024845,3127.7506044699485
0.5,0.5,exponencial,2.0,37865.594481710155,104808.01648849837,78.84142743191737,0.6745753380877482,3.725290298461914e-09,-1.1493022577361418e-14,0.6349360574805517,0.4179351773642751,1337.179877268863,3828.5718805761185,76.28786963149466,0.6967495814479997,0.0,0.0,0.6272941662309954,0.4636526352898218,3213.3745550999315
0.25,0.75,exponencial,2.0,41384.87573084698,114816.02046490372,88.2846297066901,0.6155830553320868,3.725290298461914e-09,1.1493022577361418e-14,0.6010065046706725,0.3014663537990766,1459.7885796620474,4208.113386285213,84.54437490580126,0.6366434293402786,0.0,0.0,0.5931200215032704,0.35204117829979564,3580.4967261837596
0.75,0.25,exponencial,3.0,41943.75779021095,117686.70345611473,84.5889806636921,0.5969977573318754,3.725290298461914e-09,-1.1493022577361418e-14,0.5956182969642453,0.2660995648494213,1498.805212058439,4425.361884088339,82.25921048226739,0.6018961376199724,0.0,0.0,0.5822450997703343,0.2834110245194037,3791.419215631725
0.5,0.5,potencial,2.0,43319.226463069244,123075.2996668642,95.4833782462119,0.5671786446353765,7.450580596923828e-09,-2.2986045154722837e-14,0.582357340061319,0.19735380149908321,1538.1046633921057,4649.997692096575,91.72258596109278,0.5714544305667424,0.0,0.0,0.5712913492503258,0.208815054135841,4008.529139094808
0.75,0.25,potencial,3.0,44815.18727421772,127298.82834331729,93.59229310945469,0.5412056237127296,3.725290298461914e-09,-1.1493022577361418e-14,0.567934712896803,0.14132036653905933,1600.9723040864994,4882.202179067057,90.34416738519514,0.5350550439028698,0.0,0.0,0.5537685485857278,0.1278241423751687,4241.702845043043
0.5,0.5,exponencial,3.0,46462.110477477385,130545.17812533733,99.07873229618109,0.5222198421990342,3.725290298461914e-09,-1.1493022577361418e-14,0.5520566503485145,0.09696617151152442,1656.6815979758937,4922.564928306485,95.28898288419634,0.5244818766154813,0.0,0.0,0.5382409601283413,0.11334340881874783,4291.187333377982
0.25,0.75,potencial,1.5,45384.013672659574,134338.86108167202,107.22993200781387,0.508813927846156,0.0,0.0,0.562450631358756,0.0437186775282028,1606.0128840028513,5120.746241245772,101.91819274808189,0.5097766863091182,0.0,0.0,0.5523636115444672,0.04051309851520457,4467.957951492356
0.25,0.75,exponencial,3.0,50584.26845514768,142307.33351426228,117.54501489337277,0.4591802809338071,3.725290298461914e-09,-1.1493022577361418e-14,0.5123147351979893,-0.07309188746302642,1795.508977592045,5380.419003521115,111.36294945406708,0.45925318163330103,0.0,0.0,0.49954626007386227,-0.05926527743525667,4759.511493951118
0.5,0.5,potencial,3.0,54429.55105875231,165591.96179390003,133.79431312279638,0.360095717350428,3.725290298461914e-09,-1.1493022577361418e-14,0.47524218829656917,-0.45298406718063156,1930.4253167386844,6470.350666306488,126.11474371990354,0.348477642903013,0.0,0.0,0.4619416658636851,-0.5318921020046923,5848.86592822343
0.25,0.75,potencial,2.0,54397.31514431833,171652.86349921426,142.90576740737194,0.345012975382194,3.725290298461914e-09,-1.1493022577361418e-14,0.4755529762341433,-0.5612931516231987,1917.549584501566,6693.672758160415,133.26815176083574,0.3380165587207239,0.0,0.0,0.4655304579180669,-0.639462524450588,6058.475513397963
0.25,0.75,potencial,3.0,69521.41915239058,244894.86128758974,232.28419242356964,0.17549360273814402,3.725290298461914e-09,-1.1493022577361418e-14,0.3297407920644764,-2.1779107339712196,2433.316092219421,9576.766591059086,214.90762141002452,0.17838907614107602,0.0,0.0,0.32177329438541524,-2.3559103149944107,9020.598952617378
