origen,destino,tarifa_estudiante_bt_sin_subsidio,es_diagonal,origen_en_modelo,destino_en_modelo,tarifa_disponible,fuente
Pedro Medina,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Huinca,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Cristo Redentor,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Laguna Quiñenco,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Intermodal Coronel,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Hualqui,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,La Leonera,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Manquimávida,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Pedro Medina,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Chiguayante,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Concepción,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Lorenzo Arenas,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,UTFSM,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Los Cóndores,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Higueras,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,El Arenal,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Mercado,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Juan Pablo II,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Diagonal Biobío,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Costa Mar,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Huinca,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Cristo Redentor,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Laguna Quiñenco,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Intermodal Coronel,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Chiguayante,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Hualqui,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,La Leonera,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Manquimávida,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Pedro Medina,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Chiguayante,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Concepción,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Lorenzo Arenas,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,UTFSM,300,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Los Cóndores,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Higueras,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,El Arenal,310,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Mercado,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Juan Pablo II,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Diagonal Biobío,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Alborada,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Costa Mar,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,El Parque,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Lomas Coloradas,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,C. Raúl Silva H.,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Hito Galvarino,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Los Canelos,530,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Huinca,530,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Cristo Redentor,530,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Laguna Quiñenco,530,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Intermodal Coronel,540,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Concepción,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Hualqui,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,La Leonera,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Manquimávida,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Pedro Medina,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Chiguayante,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Concepción,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Lorenzo Arenas,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,UTFSM,300,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Los Cóndores,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Higueras,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,El Arenal,310,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Mercado,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Juan Pablo II,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Diagonal Biobío,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Alborada,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Costa Mar,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,El Parque,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,Lomas Coloradas,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Lorenzo Arenas,C. Raúl Silva H.,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
