origen,destino,tarifa_versionada_anterior,tarifa_presupuesto_2026_normalizada,diferencia_nueva_menos_anterior
C. Raúl Silva H.,Laguna Quiñenco,650,400,-250
C. Raúl Silva H.,Intermodal Coronel,650,410,-240
Hito Galvarino,Hualqui,910,370,-540
Hito Galvarino,La Leonera,900,370,-530
Hito Galvarino,Manquimávida,900,370,-530
Hito Galvarino,Pedro Medina,900,370,-530
Hito Galvarino,Chiguayante,900,370,-530
Hito Galvarino,Concepción,850,350,-500
Hito Galvarino,Lorenzo Arenas,850,350,-500
Hito Galvarino,UTFSM,870,360,-510
Hito Galvarino,Los Cóndores,870,370,-500
Hito Galvarino,Higueras,870,370,-500
Hito Galvarino,El Arenal,880,360,-520
Hito Galvarino,Mercado,880,360,-520
Hito Galvarino,Juan Pablo II,650,370,-280
Hito Galvarino,Diagonal Biobío,650,350,-300
Hito Galvarino,Alborada,650,350,-300
Hito Galvarino,Costa Mar,610,340,-270
Hito Galvarino,El Parque,610,300,-310
Hito Galvarino,Lomas Coloradas,610,300,-310
Hito Galvarino,C. Raúl Silva H.,610,300,-310
Hito Galvarino,Los Canelos,440,370,-70
Hito Galvarino,Huinca,460,370,-90
Hito Galvarino,Cristo Redentor,460,390,-70
Hito Galvarino,Laguna Quiñenco,530,390,-140
Hito Galvarino,Intermodal Coronel,530,400,-130
Los Canelos,Hualqui,910,560,-350
Los Canelos,La Leonera,900,560,-340
Los Canelos,Manquimávida,900,560,-340
Los Canelos,Pedro Medina,900,560,-340
Los Canelos,Chiguayante,900,560,-340
Los Canelos,Concepción,850,530,-320
Los Canelos,Lorenzo Arenas,850,530,-320
Los Canelos,UTFSM,870,540,-330
Los Canelos,Los Cóndores,870,540,-330
Los Canelos,Higueras,870,540,-330
Los Canelos,El Arenal,880,530,-350
Los Canelos,Mercado,880,540,-340
Los Canelos,Juan Pablo II,650,550,-100
Los Canelos,Diagonal Biobío,650,410,-240
Los Canelos,Alborada,650,410,-240
Los Canelos,Costa Mar,610,400,-210
Los Canelos,El Parque,610,370,-240
Los Canelos,Lomas Coloradas,610,370,-240
Los Canelos,C. Raúl Silva H.,610,370,-240
Los Canelos,Hito Galvarino,440,370,-70
Los Canelos,Huinca,460,300,-160
Los Canelos,Cristo Redentor,460,300,-160
Los Canelos,Laguna Quiñenco,530,300,-230
Los Canelos,Intermodal Coronel,530,340,-190
Huinca,Hualqui,960,570,-390
Huinca,La Leonera,910,550,-360
Huinca,Manquimávida,910,550,-360
Huinca,Pedro Medina,910,550,-360
Huinca,Chiguayante,910,550,-360
