tipo_pasajero,matriz_tarifaria_aplicada,origen,destino,tarifa
normal,Matriz Tarifaria Adulto,San Miguel,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,San Miguel,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,San Miguel,Gomero,1250.0
normal,Matriz Tarifaria Adulto,San Miguel,Buenuraqui,1250.0
normal,Matriz Tarifaria Adulto,San Miguel,San Rosendo,1920.0
normal,Matriz Tarifaria Adulto,San Miguel,Laja,1920.0
normal,Matriz Tarifaria Adulto,Unihue,Mercado,1360.0
normal,Matriz Tarifaria Adulto,Unihue,El Arenal,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Higueras,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Los Cóndores,1360.0
normal,Matriz Tarifaria Adulto,Unihue,UTFSM,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Lorenzo Arenas,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Concepción,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Chiguayante,1360.0
normal,Matriz Tarifaria Adulto,Unihue,Pedro Medina,1250.0
normal,Matriz Tarifaria Adulto,Unihue,Manquimávida,1250.0
normal,Matriz Tarifaria Adulto,Unihue,La Leonera,1250.0
normal,Matriz Tarifaria Adulto,Unihue,Hualqui,1250.0
normal,Matriz Tarifaria Adulto,Unihue,Quilacoya,680.0
normal,Matriz Tarifaria Adulto,Unihue,San Miguel,680.0
normal,Matriz Tarifaria Adulto,Unihue,Unihue,0.0
normal,Matriz Tarifaria Adulto,Unihue,Valle Chanco,680.0
normal,Matriz Tarifaria Adulto,Unihue,Los Acacios,680.0
normal,Matriz Tarifaria Adulto,Unihue,Talcamávida,680.0
normal,Matriz Tarifaria Adulto,Unihue,Gomero,1250.0
normal,Matriz Tarifaria Adulto,Unihue,Buenuraqui,1250.0
normal,Matriz Tarifaria Adulto,Unihue,San Rosendo,1250.0
normal,Matriz Tarifaria Adulto,Unihue,Laja,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Mercado,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,El Arenal,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Higueras,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Los Cóndores,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,UTFSM,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Lorenzo Arenas,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Concepción,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Chiguayante,1360.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Pedro Medina,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Manquimávida,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,La Leonera,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Hualqui,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Quilacoya,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,San Miguel,680.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Unihue,680.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Valle Chanco,0.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Los Acacios,680.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Talcamávida,680.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Gomero,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Buenuraqui,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,San Rosendo,1250.0
normal,Matriz Tarifaria Adulto,Valle Chanco,Laja,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Mercado,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,El Arenal,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Higueras,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Los Cóndores,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,UTFSM,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Lorenzo Arenas,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Concepción,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Chiguayante,1360.0
normal,Matriz Tarifaria Adulto,Los Acacios,Pedro Medina,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Manquimávida,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,La Leonera,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Hualqui,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Quilacoya,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,San Miguel,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Unihue,680.0
normal,Matriz Tarifaria Adulto,Los Acacios,Valle Chanco,680.0
normal,Matriz Tarifaria Adulto,Los Acacios,Los Acacios,0.0
normal,Matriz Tarifaria Adulto,Los Acacios,Talcamávida,680.0
normal,Matriz Tarifaria Adulto,Los Acacios,Gomero,680.0
normal,Matriz Tarifaria Adulto,Los Acacios,Buenuraqui,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,San Rosendo,1250.0
normal,Matriz Tarifaria Adulto,Los Acacios,Laja,1250.0
normal,Matriz Tarifaria Adulto,Talcamávida,Mercado,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,El Arenal,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Higueras,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Los Cóndores,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,UTFSM,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Lorenzo Arenas,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Concepción,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Chiguayante,1360.0
normal,Matriz Tarifaria Adulto,Talcamávida,Pedro Medina,1250.0
normal,Matriz Tarifaria Adulto,Talcamávida,Manquimávida,1250.0
normal,Matriz Tarifaria Adulto,Talcamávida,La Leonera,1250.0
normal,Matriz Tarifaria Adulto,Talcamávida,Hualqui,1250.0
normal,Matriz Tarifaria Adulto,Talcamávida,Quilacoya,1250.0
