anio_base,mes,periodo_base,tipo_pasajero,nombre_visual,origen,destino,viajes_observados
2024,1,2024-01,normal,Normal,Talcamávida,Unihue,9.0
2024,1,2024-01,normal,Normal,Talcamávida,Valle Chanco,4.0
2024,1,2024-01,normal,Normal,Talcamávida,Los Acacios,0.0
2024,1,2024-01,normal,Normal,Talcamávida,Talcamávida,0.0
2024,1,2024-01,normal,Normal,Talcamávida,Gomero,1.0
2024,1,2024-01,normal,Normal,Talcamávida,Buenuraqui,1.0
2024,1,2024-01,normal,Normal,Talcamávida,San Rosendo,20.0
2024,1,2024-01,normal,Normal,Talcamávida,Laja,78.0
2024,1,2024-01,normal,Normal,Gomero,Mercado,1.0
2024,1,2024-01,normal,Normal,Gomero,El Arenal,0.0
2024,1,2024-01,normal,Normal,Gomero,Higueras,0.0
2024,1,2024-01,normal,Normal,Gomero,Los Cóndores,1.0
2024,1,2024-01,normal,Normal,Gomero,UTFSM,2.0
2024,1,2024-01,normal,Normal,Gomero,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Gomero,Concepción,22.0
2024,1,2024-01,normal,Normal,Gomero,Chiguayante,8.0
