tipo_pasajero,origen,destino,matriz_tarifaria_aplicada,tarifa,tiene_tarifa
normal,Chiguayante,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Chiguayante,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Chiguayante,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Chiguayante,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Chiguayante,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Chiguayante,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Chiguayante,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Chiguayante,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Pedro Medina,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Pedro Medina,Matriz Tarifaria Adulto,0.0,True
normal,Pedro Medina,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Pedro Medina,Quilacoya,Matriz Tarifaria Adulto,1080.0,True
normal,Pedro Medina,San Miguel,Matriz Tarifaria Adulto,1080.0,True
normal,Pedro Medina,Unihue,Matriz Tarifaria Adulto,1250.0,True
normal,Pedro Medina,Valle Chanco,Matriz Tarifaria Adulto,1250.0,True
normal,Pedro Medina,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,Pedro Medina,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,Pedro Medina,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Pedro Medina,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Pedro Medina,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Pedro Medina,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Manquimávida,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Manquimávida,Matriz Tarifaria Adulto,0.0,True
normal,Manquimávida,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Manquimávida,Quilacoya,Matriz Tarifaria Adulto,1080.0,True
normal,Manquimávida,San Miguel,Matriz Tarifaria Adulto,1080.0,True
normal,Manquimávida,Unihue,Matriz Tarifaria Adulto,1250.0,True
normal,Manquimávida,Valle Chanco,Matriz Tarifaria Adulto,1250.0,True
normal,Manquimávida,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,Manquimávida,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,Manquimávida,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Manquimávida,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Manquimávida,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Manquimávida,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,La Leonera,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,La Leonera,Matriz Tarifaria Adulto,0.0,True
normal,La Leonera,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,La Leonera,Quilacoya,Matriz Tarifaria Adulto,1080.0,True
normal,La Leonera,San Miguel,Matriz Tarifaria Adulto,1080.0,True
normal,La Leonera,Unihue,Matriz Tarifaria Adulto,1250.0,True
normal,La Leonera,Valle Chanco,Matriz Tarifaria Adulto,1250.0,True
normal,La Leonera,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,La Leonera,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,La Leonera,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,La Leonera,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,La Leonera,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,La Leonera,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Hualqui,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Hualqui,Hualqui,Matriz Tarifaria Adulto,0.0,True
normal,Hualqui,Quilacoya,Matriz Tarifaria Adulto,680.0,True
normal,Hualqui,San Miguel,Matriz Tarifaria Adulto,680.0,True
normal,Hualqui,Unihue,Matriz Tarifaria Adulto,1250.0,True
normal,Hualqui,Valle Chanco,Matriz Tarifaria Adulto,1250.0,True
normal,Hualqui,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,Hualqui,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,Hualqui,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Hualqui,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Hualqui,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Hualqui,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Quilacoya,Mercado,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,El Arenal,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,Higueras,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,Los Cóndores,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,UTFSM,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,Lorenzo Arenas,Matriz Tarifaria Adulto,1220.0,True
