periodo,mes,tipo_pasajero,origen,destino,factor_od
2027-01,1,Normal,UTFSM,El Arenal,0.00023946449774193743
2027-01,1,Normal,UTFSM,Mercado,0.00035251962539287386
2027-01,1,Normal,UTFSM,Juan Pablo II,0.0002652078730460974
2027-01,1,Normal,UTFSM,Diagonal Biobío,0.0002273098271596564
2027-01,1,Normal,UTFSM,Alborada,0.0001619391443738683
2027-01,1,Normal,UTFSM,Costa Mar,0.0005850763083815269
2027-01,1,Normal,UTFSM,El Parque,0.00027722934476238974
2027-01,1,Normal,UTFSM,Lomas Coloradas,0.00040040672909876076
2027-01,1,Normal,UTFSM,C. Raúl Silva H.,0.0003644919021784918
2027-01,1,Normal,UTFSM,Hito Galvarino,0.00023560922776043477
2027-01,1,Normal,UTFSM,Los Canelos,0.00029607371072657096
2027-01,1,Normal,UTFSM,Huinca,0.00022112975656407235
2027-01,1,Normal,UTFSM,Cristo Redentor,0.000288484531355174
2027-01,1,Normal,UTFSM,Laguna Quiñenco,0.0002962740530666461
2027-01,1,Normal,UTFSM,Intermodal Coronel,0.000522862572509388
2027-01,1,Normal,UTFSM,Pasajero Lota,0.0
2027-01,1,Normal,UTFSM,Concepción Centro,0.0
2027-01,1,Normal,Los Cóndores,Hualqui,0.0008075153869173143
2027-01,1,Normal,Los Cóndores,La Leonera,0.00063541405012831
2027-01,1,Normal,Los Cóndores,Manquimávida,0.00042399183635405163
2027-01,1,Normal,Los Cóndores,Pedro Medina,0.0003658638705006149
2027-01,1,Normal,Los Cóndores,Chiguayante,0.0005511216545660845
2027-01,1,Normal,Los Cóndores,Concepción,0.004622669531213603
2027-01,1,Normal,Los Cóndores,Lorenzo Arenas,0.0002963090390529854
2027-01,1,Normal,Los Cóndores,UTFSM,0.00023188987660815525
2027-01,1,Normal,Los Cóndores,Los Cóndores,0.0001324887078389928
2027-01,1,Normal,Los Cóndores,Higueras,0.00014984030960413008
2027-01,1,Normal,Los Cóndores,El Arenal,0.00020608245609990753
2027-01,1,Normal,Los Cóndores,Mercado,0.000272266831751234
2027-01,1,Normal,Los Cóndores,Juan Pablo II,0.0004861028739328586
2027-01,1,Normal,Los Cóndores,Diagonal Biobío,0.00034742344279638194
2027-01,1,Normal,Los Cóndores,Alborada,0.00014437188947027653
2027-01,1,Normal,Los Cóndores,Costa Mar,0.0004971903096780424
2027-01,1,Normal,Los Cóndores,El Parque,0.00039883195643898275
2027-01,1,Normal,Los Cóndores,Lomas Coloradas,0.0007171324695896007
2027-01,1,Normal,Los Cóndores,C. Raúl Silva H.,0.0004783789717429475
2027-01,1,Normal,Los Cóndores,Hito Galvarino,0.0003655884794664843
2027-01,1,Normal,Los Cóndores,Los Canelos,0.000531958310997902
2027-01,1,Normal,Los Cóndores,Huinca,0.00020400058670135034
2027-01,1,Normal,Los Cóndores,Cristo Redentor,0.00036348344673325364
2027-01,1,Normal,Los Cóndores,Laguna Quiñenco,0.00039728869844358013
2027-01,1,Normal,Los Cóndores,Intermodal Coronel,0.000977730213590936
2027-01,1,Normal,Los Cóndores,Pasajero Lota,0.0
2027-01,1,Normal,Los Cóndores,Concepción Centro,0.0
2027-01,1,Normal,Higueras,Hualqui,0.0008437730323464568
2027-01,1,Normal,Higueras,La Leonera,0.0005415151024544396
2027-01,1,Normal,Higueras,Manquimávida,0.0005211205476312674
2027-01,1,Normal,Higueras,Pedro Medina,0.0005363267353148644
2027-01,1,Normal,Higueras,Chiguayante,0.0007148148435934015
2027-01,1,Normal,Higueras,Concepción,0.003994151146904575
2027-01,1,Normal,Higueras,Lorenzo Arenas,0.0005081174943673716
2027-01,1,Normal,Higueras,UTFSM,0.0003731997325586665
2027-01,1,Normal,Higueras,Los Cóndores,0.00012210001351897453
2027-01,1,Normal,Higueras,Higueras,8.030305165332163e-05
2027-01,1,Normal,Higueras,El Arenal,0.0001297601180905525
2027-01,1,Normal,Higueras,Mercado,0.0004095266064661077
2027-01,1,Normal,Higueras,Juan Pablo II,0.00044522755240484113
2027-01,1,Normal,Higueras,Diagonal Biobío,0.0003574481725065412
2027-01,1,Normal,Higueras,Alborada,0.00022928256954168086
2027-01,1,Normal,Higueras,Costa Mar,0.0005273258779049924
2027-01,1,Normal,Higueras,El Parque,0.0002807174050477149
2027-01,1,Normal,Higueras,Lomas Coloradas,0.0006925418177617118
2027-01,1,Normal,Higueras,C. Raúl Silva H.,0.0004469189256279424
2027-01,1,Normal,Higueras,Hito Galvarino,0.00032910877525357205
