origen,destino,tarifa_2026
Alborada,Higueras,190.0
Alborada,El Arenal,190.0
Alborada,Mercado,190.0
Alborada,Juan Pablo II,150.0
Alborada,Diagonal Biobío,150.0
Alborada,Alborada,150.0
Alborada,Costa Mar,170.0
Alborada,El Parque,170.0
Alborada,Lomas Coloradas,170.0
Alborada,C. Raúl Silva H.,170.0
Alborada,Hito Galvarino,220.0
Alborada,Los Canelos,220.0
Alborada,Huinca,230.0
Alborada,Cristo Redentor,230.0
Alborada,Laguna Quiñenco,260.0
Alborada,Intermodal Coronel,260.0
Alborada,Pasajero Lota,0.0
Alborada,Concepción Centro,0.0
Costa Mar,Hualqui,200.0
Costa Mar,La Leonera,200.0
Costa Mar,Manquimávida,200.0
Costa Mar,Pedro Medina,200.0
Costa Mar,Chiguayante,200.0
Costa Mar,Concepción,190.0
Costa Mar,Lorenzo Arenas,190.0
Costa Mar,UTFSM,200.0
Costa Mar,Los Cóndores,200.0
Costa Mar,Higueras,200.0
Costa Mar,El Arenal,200.0
Costa Mar,Mercado,200.0
Costa Mar,Juan Pablo II,170.0
Costa Mar,Diagonal Biobío,170.0
Costa Mar,Alborada,170.0
Costa Mar,Costa Mar,140.0
Costa Mar,El Parque,140.0
Costa Mar,Lomas Coloradas,140.0
Costa Mar,C. Raúl Silva H.,140.0
Costa Mar,Hito Galvarino,200.0
Costa Mar,Los Canelos,200.0
Costa Mar,Huinca,210.0
Costa Mar,Cristo Redentor,210.0
Costa Mar,Laguna Quiñenco,220.0
Costa Mar,Intermodal Coronel,220.0
Costa Mar,Pasajero Lota,0.0
Costa Mar,Concepción Centro,0.0
El Parque,Hualqui,200.0
El Parque,La Leonera,200.0
El Parque,Manquimávida,200.0
El Parque,Pedro Medina,200.0
El Parque,Chiguayante,200.0
El Parque,Concepción,190.0
El Parque,Lorenzo Arenas,190.0
El Parque,UTFSM,200.0
El Parque,Los Cóndores,200.0
El Parque,Higueras,200.0
El Parque,El Arenal,200.0
El Parque,Mercado,200.0
El Parque,Juan Pablo II,170.0
El Parque,Diagonal Biobío,170.0
El Parque,Alborada,170.0
El Parque,Costa Mar,140.0
El Parque,El Parque,140.0
El Parque,Lomas Coloradas,140.0
El Parque,C. Raúl Silva H.,140.0
El Parque,Hito Galvarino,200.0
El Parque,Los Canelos,200.0
El Parque,Huinca,210.0
El Parque,Cristo Redentor,210.0
El Parque,Laguna Quiñenco,220.0
El Parque,Intermodal Coronel,220.0
El Parque,Pasajero Lota,0.0
El Parque,Concepción Centro,0.0
Lomas Coloradas,Hualqui,200.0
Lomas Coloradas,La Leonera,200.0
Lomas Coloradas,Manquimávida,200.0
Lomas Coloradas,Pedro Medina,200.0
Lomas Coloradas,Chiguayante,200.0
Lomas Coloradas,Concepción,190.0
Lomas Coloradas,Lorenzo Arenas,190.0
Lomas Coloradas,UTFSM,200.0
Lomas Coloradas,Los Cóndores,200.0
Lomas Coloradas,Higueras,200.0
Lomas Coloradas,El Arenal,200.0
Lomas Coloradas,Mercado,200.0
Lomas Coloradas,Juan Pablo II,170.0
Lomas Coloradas,Diagonal Biobío,170.0
Lomas Coloradas,Alborada,170.0
Lomas Coloradas,Costa Mar,140.0
Lomas Coloradas,El Parque,140.0
Lomas Coloradas,Lomas Coloradas,140.0
Lomas Coloradas,C. Raúl Silva H.,140.0
Lomas Coloradas,Hito Galvarino,200.0
Lomas Coloradas,Los Canelos,200.0
Lomas Coloradas,Huinca,210.0
Lomas Coloradas,Cristo Redentor,210.0
Lomas Coloradas,Laguna Quiñenco,220.0
Lomas Coloradas,Intermodal Coronel,220.0
Lomas Coloradas,Pasajero Lota,0.0
Lomas Coloradas,Concepción Centro,0.0
C. Raúl Silva H.,Hualqui,200.0
C. Raúl Silva H.,La Leonera,200.0
C. Raúl Silva H.,Manquimávida,200.0
C. Raúl Silva H.,Pedro Medina,200.0
C. Raúl Silva H.,Chiguayante,200.0
C. Raúl Silva H.,Concepción,190.0
C. Raúl Silva H.,Lorenzo Arenas,190.0
C. Raúl Silva H.,UTFSM,200.0
C. Raúl Silva H.,Los Cóndores,200.0
C. Raúl Silva H.,Higueras,200.0
C. Raúl Silva H.,El Arenal,200.0
C. Raúl Silva H.,Mercado,200.0
C. Raúl Silva H.,Juan Pablo II,170.0
C. Raúl Silva H.,Diagonal Biobío,170.0
C. Raúl Silva H.,Alborada,170.0
C. Raúl Silva H.,Costa Mar,140.0
C. Raúl Silva H.,El Parque,140.0
C. Raúl Silva H.,Lomas Coloradas,140.0
C. Raúl Silva H.,C. Raúl Silva H.,140.0
C. Raúl Silva H.,Hito Galvarino,200.0
C. Raúl Silva H.,Los Canelos,200.0
C. Raúl Silva H.,Huinca,210.0
C. Raúl Silva H.,Cristo Redentor,210.0
C. Raúl Silva H.,Laguna Quiñenco,220.0
C. Raúl Silva H.,Intermodal Coronel,220.0
C. Raúl Silva H.,Pasajero Lota,0.0
C. Raúl Silva H.,Concepción Centro,0.0
Hito Galvarino,Hualqui,300.0
Hito Galvarino,La Leonera,300.0
Hito Galvarino,Manquimávida,300.0
Hito Galvarino,Pedro Medina,300.0
Hito Galvarino,Chiguayante,300.0
Hito Galvarino,Concepción,280.0
Hito Galvarino,Lorenzo Arenas,280.0
Hito Galvarino,UTFSM,290.0
Hito Galvarino,Los Cóndores,290.0
Hito Galvarino,Higueras,290.0
Hito Galvarino,El Arenal,290.0
Hito Galvarino,Mercado,290.0
Hito Galvarino,Juan Pablo II,220.0
Hito Galvarino,Diagonal Biobío,220.0
Hito Galvarino,Alborada,220.0
Hito Galvarino,Costa Mar,200.0
Hito Galvarino,El Parque,200.0
Hito Galvarino,Lomas Coloradas,200.0
Hito Galvarino,C. Raúl Silva H.,200.0
Hito Galvarino,Hito Galvarino,150.0
Hito Galvarino,Los Canelos,150.0
Hito Galvarino,Huinca,150.0
Hito Galvarino,Cristo Redentor,150.0
Hito Galvarino,Laguna Quiñenco,180.0
Hito Galvarino,Intermodal Coronel,180.0
Hito Galvarino,Pasajero Lota,0.0
Hito Galvarino,Concepción Centro,0.0
Los Canelos,Hualqui,300.0
Los Canelos,La Leonera,300.0
Los Canelos,Manquimávida,300.0
Los Canelos,Pedro Medina,300.0
Los Canelos,Chiguayante,300.0
Los Canelos,Concepción,280.0
Los Canelos,Lorenzo Arenas,280.0
Los Canelos,UTFSM,290.0
Los Canelos,Los Cóndores,290.0
Los Canelos,Higueras,290.0
Los Canelos,El Arenal,290.0
Los Canelos,Mercado,290.0
Los Canelos,Juan Pablo II,220.0
Los Canelos,Diagonal Biobío,220.0
Los Canelos,Alborada,220.0
Los Canelos,Costa Mar,200.0
Los Canelos,El Parque,200.0
Los Canelos,Lomas Coloradas,200.0
Los Canelos,C. Raúl Silva H.,200.0
Los Canelos,Hito Galvarino,150.0
Los Canelos,Los Canelos,150.0
Los Canelos,Huinca,150.0
Los Canelos,Cristo Redentor,150.0
Los Canelos,Laguna Quiñenco,180.0
Los Canelos,Intermodal Coronel,180.0
Los Canelos,Pasajero Lota,0.0
Los Canelos,Concepción Centro,0.0
Huinca,Hualqui,320.0
Huinca,La Leonera,300.0
Huinca,Manquimávida,300.0
Huinca,Pedro Medina,300.0
Huinca,Chiguayante,300.0
Huinca,Concepción,280.0
Huinca,Lorenzo Arenas,280.0
Huinca,UTFSM,290.0
Huinca,Los Cóndores,290.0
Huinca,Higueras,290.0
Huinca,El Arenal,300.0
Huinca,Mercado,300.0
Huinca,Juan Pablo II,230.0
Huinca,Diagonal Biobío,230.0
Huinca,Alborada,230.0
Huinca,Costa Mar,210.0
Huinca,El Parque,210.0
Huinca,Lomas Coloradas,210.0
Huinca,C. Raúl Silva H.,210.0
Huinca,Hito Galvarino,150.0
Huinca,Los Canelos,150.0
Huinca,Huinca,150.0
Huinca,Cristo Redentor,150.0
Huinca,Laguna Quiñenco,150.0
Huinca,Intermodal Coronel,150.0
Huinca,Pasajero Lota,0.0
Huinca,Concepción Centro,0.0
Cristo Redentor,Hualqui,320.0
Cristo Redentor,La Leonera,300.0
Cristo Redentor,Manquimávida,300.0
Cristo Redentor,Pedro Medina,300.0
Cristo Redentor,Chiguayante,300.0
Cristo Redentor,Concepción,280.0
Cristo Redentor,Lorenzo Arenas,280.0
Cristo Redentor,UTFSM,290.0
Cristo Redentor,Los Cóndores,290.0
Cristo Redentor,Higueras,290.0
Cristo Redentor,El Arenal,300.0
Cristo Redentor,Mercado,300.0
Cristo Redentor,Juan Pablo II,230.0
Cristo Redentor,Diagonal Biobío,230.0
Cristo Redentor,Alborada,230.0
Cristo Redentor,Costa Mar,210.0
Cristo Redentor,El Parque,210.0
Cristo Redentor,Lomas Coloradas,210.0
Cristo Redentor,C. Raúl Silva H.,210.0
Cristo Redentor,Hito Galvarino,150.0
Cristo Redentor,Los Canelos,150.0
Cristo Redentor,Huinca,150.0
Cristo Redentor,Cristo Redentor,150.0
Cristo Redentor,Laguna Quiñenco,150.0
Cristo Redentor,Intermodal Coronel,150.0
Cristo Redentor,Pasajero Lota,0.0
Cristo Redentor,Concepción Centro,0.0
Laguna Quiñenco,Hualqui,320.0
Laguna Quiñenco,La Leonera,300.0
Laguna Quiñenco,Manquimávida,300.0
Laguna Quiñenco,Pedro Medina,300.0
Laguna Quiñenco,Chiguayante,300.0
Laguna Quiñenco,Concepción,290.0
Laguna Quiñenco,Lorenzo Arenas,290.0
Laguna Quiñenco,UTFSM,300.0
Laguna Quiñenco,Los Cóndores,300.0
Laguna Quiñenco,Higueras,300.0
Laguna Quiñenco,El Arenal,300.0
Laguna Quiñenco,Mercado,300.0
Laguna Quiñenco,Juan Pablo II,260.0
Laguna Quiñenco,Diagonal Biobío,260.0
Laguna Quiñenco,Alborada,260.0
Laguna Quiñenco,Costa Mar,220.0
Laguna Quiñenco,El Parque,220.0
Laguna Quiñenco,Lomas Coloradas,220.0
Laguna Quiñenco,C. Raúl Silva H.,220.0
Laguna Quiñenco,Hito Galvarino,180.0
Laguna Quiñenco,Los Canelos,180.0
Laguna Quiñenco,Huinca,150.0
Laguna Quiñenco,Cristo Redentor,150.0
Laguna Quiñenco,Laguna Quiñenco,150.0
Laguna Quiñenco,Intermodal Coronel,150.0
Laguna Quiñenco,Pasajero Lota,0.0
Laguna Quiñenco,Concepción Centro,0.0
Intermodal Coronel,Hualqui,320.0
Intermodal Coronel,La Leonera,300.0
Intermodal Coronel,Manquimávida,300.0
Intermodal Coronel,Pedro Medina,300.0
Intermodal Coronel,Chiguayante,300.0
Intermodal Coronel,Concepción,290.0
Intermodal Coronel,Lorenzo Arenas,290.0
Intermodal Coronel,UTFSM,300.0
Intermodal Coronel,Los Cóndores,300.0
Intermodal Coronel,Higueras,300.0
Intermodal Coronel,El Arenal,300.0
Intermodal Coronel,Mercado,300.0
Intermodal Coronel,Juan Pablo II,260.0
Intermodal Coronel,Diagonal Biobío,260.0
Intermodal Coronel,Alborada,260.0
Intermodal Coronel,Costa Mar,220.0
Intermodal Coronel,El Parque,220.0
Intermodal Coronel,Lomas Coloradas,220.0
Intermodal Coronel,C. Raúl Silva H.,220.0
Intermodal Coronel,Hito Galvarino,180.0
Intermodal Coronel,Los Canelos,180.0
Intermodal Coronel,Huinca,150.0
Intermodal Coronel,Cristo Redentor,150.0
Intermodal Coronel,Laguna Quiñenco,150.0
