periodo,mes,tipo_pasajero,origen,destino,ingresos_proyectados
2027-01,1,Normal,UTFSM,Concepción,749468.9132855672
2027-01,1,Normal,UTFSM,Lorenzo Arenas,52963.71567046357
2027-01,1,Normal,UTFSM,UTFSM,27020.39424173235
2027-01,1,Normal,UTFSM,Los Cóndores,51795.54359517657
2027-01,1,Normal,UTFSM,Higueras,128434.49395870537
2027-01,1,Normal,UTFSM,El Arenal,79483.90429783172
2027-01,1,Normal,UTFSM,Mercado,117009.56272035974
2027-01,1,Normal,UTFSM,Juan Pablo II,100604.27041647104
2027-01,1,Normal,UTFSM,Diagonal Biobío,86227.98055439508
2027-01,1,Normal,UTFSM,Alborada,61430.187891778085
2027-01,1,Normal,UTFSM,Costa Mar,233833.37632549606
2027-01,1,Normal,UTFSM,El Parque,110798.32284034655
2027-01,1,Normal,UTFSM,Lomas Coloradas,160027.7707836301
2027-01,1,Normal,UTFSM,C. Raúl Silva H.,145673.9418580604
2027-01,1,Normal,UTFSM,Hito Galvarino,138852.44286518608
2027-01,1,Normal,UTFSM,Los Canelos,174486.19645893347
2027-01,1,Normal,UTFSM,Huinca,131817.12533687483
2027-01,1,Normal,UTFSM,Cristo Redentor,171967.81753059174
2027-01,1,Normal,UTFSM,Laguna Quiñenco,180625.101660672
2027-01,1,Normal,UTFSM,Intermodal Coronel,318766.03548817744
2027-01,1,Normal,UTFSM,Pasajero Lota,0.0
2027-01,1,Normal,UTFSM,Concepción Centro,0.0
2027-01,1,Normal,Los Cóndores,Hualqui,306323.84860147047
2027-01,1,Normal,Los Cóndores,La Leonera,232430.19673118868
2027-01,1,Normal,Los Cóndores,Manquimávida,155093.3693019381
2027-01,1,Normal,Los Cóndores,Pedro Medina,133830.54935615647
2027-01,1,Normal,Los Cóndores,Chiguayante,201596.60392738623
2027-01,1,Normal,Los Cóndores,Concepción,1565686.576286411
2027-01,1,Normal,Los Cóndores,Lorenzo Arenas,100359.12836619947
2027-01,1,Normal,Los Cóndores,UTFSM,65974.03647517464
2027-01,1,Normal,Los Cóndores,Los Cóndores,37693.818166493715
2027-01,1,Normal,Los Cóndores,Higueras,42630.45112563865
2027-01,1,Normal,Los Cóndores,El Arenal,68403.61879346127
2027-01,1,Normal,Los Cóndores,Mercado,90371.77119136257
2027-01,1,Normal,Los Cóndores,Juan Pablo II,184398.84313262728
2027-01,1,Normal,Los Cóndores,Diagonal Biobío,131792.02256198972
2027-01,1,Normal,Los Cóndores,Alborada,54766.20449453998
2027-01,1,Normal,Los Cóndores,Costa Mar,198708.59086730093
2027-01,1,Normal,Los Cóndores,El Parque,159398.3923543452
2027-01,1,Normal,Los Cóndores,Lomas Coloradas,286611.34322914254
2027-01,1,Normal,Los Cóndores,C. Raúl Silva H.,191190.39435250591
2027-01,1,Normal,Los Cóndores,Hito Galvarino,215453.58787434868
2027-01,1,Normal,Los Cóndores,Los Canelos,313500.9256072135
2027-01,1,Normal,Los Cóndores,Huinca,121606.297243023
2027-01,1,Normal,Los Cóndores,Cristo Redentor,216675.23991522897
2027-01,1,Normal,Los Cóndores,Laguna Quiñenco,242209.23432962727
2027-01,1,Normal,Los Cóndores,Intermodal Coronel,596078.5880458017
2027-01,1,Normal,Los Cóndores,Pasajero Lota,0.0
2027-01,1,Normal,Los Cóndores,Concepción Centro,0.0
2027-01,1,Normal,Higueras,Hualqui,320077.8670004037
2027-01,1,Normal,Higueras,La Leonera,198082.59161247572
2027-01,1,Normal,Higueras,Manquimávida,190622.40027922188
2027-01,1,Normal,Higueras,Pedro Medina,196184.72172004636
2027-01,1,Normal,Higueras,Chiguayante,261474.4743041776
2027-01,1,Normal,Higueras,Concepción,1352808.9758831824
2027-01,1,Normal,Higueras,Lorenzo Arenas,172098.12095272596
2027-01,1,Normal,Higueras,UTFSM,106177.52326444155
2027-01,1,Normal,Higueras,Los Cóndores,34738.17340949348
2027-01,1,Normal,Higueras,Higueras,22846.691439645856
2027-01,1,Normal,Higueras,El Arenal,43070.43802000113
2027-01,1,Normal,Higueras,Mercado,135931.5218026462
2027-01,1,Normal,Higueras,Juan Pablo II,168893.1499828236
2027-01,1,Normal,Higueras,Diagonal Biobío,135594.8154694144
2027-01,1,Normal,Higueras,Alborada,86976.32299907328
2027-01,1,Normal,Higueras,Costa Mar,210752.66369172971
2027-01,1,Normal,Higueras,El Parque,112192.37161938648
2027-01,1,Normal,Higueras,Lomas Coloradas,276783.36855201656
2027-01,1,Normal,Higueras,C. Raúl Silva H.,178616.97666827738
2027-01,1,Normal,Higueras,Hito Galvarino,193954.87115128114
2027-01,1,Normal,Higueras,Los Canelos,315088.11252237455
2027-01,1,Normal,Higueras,Huinca,141536.5919707736
2027-01,1,Normal,Higueras,Cristo Redentor,233668.8102685487
2027-01,1,Normal,Higueras,Laguna Quiñenco,223341.79307761535
2027-01,1,Normal,Higueras,Intermodal Coronel,396295.8414957795
2027-01,1,Normal,Higueras,Pasajero Lota,0.0
2027-01,1,Normal,Higueras,Concepción Centro,0.0
2027-01,1,Normal,El Arenal,Hualqui,294968.03611660376
2027-01,1,Normal,El Arenal,La Leonera,143190.20394967915
2027-01,1,Normal,El Arenal,Manquimávida,117164.39742090854
2027-01,1,Normal,El Arenal,Pedro Medina,82213.55249154099
2027-01,1,Normal,El Arenal,Chiguayante,124065.49516516697
2027-01,1,Normal,El Arenal,Concepción,1052352.5880815026
2027-01,1,Normal,El Arenal,Lorenzo Arenas,109377.8139815889
2027-01,1,Normal,El Arenal,UTFSM,73670.18985922288
2027-01,1,Normal,El Arenal,Los Cóndores,49731.41868897082
2027-01,1,Normal,El Arenal,Higueras,42076.601826415244
2027-01,1,Normal,El Arenal,El Arenal,17793.442024292268
2027-01,1,Normal,El Arenal,Mercado,18333.317899604528
2027-01,1,Normal,El Arenal,Juan Pablo II,133801.85919624
2027-01,1,Normal,El Arenal,Diagonal Biobío,75755.43379020045
2027-01,1,Normal,El Arenal,Alborada,47840.03988991752
2027-01,1,Normal,El Arenal,Costa Mar,159944.75431785118
2027-01,1,Normal,El Arenal,El Parque,80373.61631163541
2027-01,1,Normal,El Arenal,Lomas Coloradas,142651.95918310637
2027-01,1,Normal,El Arenal,C. Raúl Silva H.,90627.10076105382
2027-01,1,Normal,El Arenal,Hito Galvarino,135379.05163943334
2027-01,1,Normal,El Arenal,Los Canelos,223971.4240200029
2027-01,1,Normal,El Arenal,Huinca,99182.81870038755
2027-01,1,Normal,El Arenal,Cristo Redentor,131552.34652828707
2027-01,1,Normal,El Arenal,Laguna Quiñenco,178975.01545266813
2027-01,1,Normal,El Arenal,Intermodal Coronel,314723.66890536563
2027-01,1,Normal,El Arenal,Pasajero Lota,0.0
2027-01,1,Normal,El Arenal,Concepción Centro,0.0
2027-01,1,Normal,Mercado,Hualqui,403078.5088091627
2027-01,1,Normal,Mercado,La Leonera,253122.17191689627
2027-01,1,Normal,Mercado,Manquimávida,231122.68203230205
2027-01,1,Normal,Mercado,Pedro Medina,193602.62836016362
2027-01,1,Normal,Mercado,Chiguayante,349399.0251557349
2027-01,1,Normal,Mercado,Concepción,1321783.8588618033
2027-01,1,Normal,Mercado,Lorenzo Arenas,169093.14986864023
2027-01,1,Normal,Mercado,UTFSM,134837.3088076215
2027-01,1,Normal,Mercado,Los Cóndores,110534.0601350407
2027-01,1,Normal,Mercado,Higueras,129893.55924379577
2027-01,1,Normal,Mercado,El Arenal,25365.039192168835
2027-01,1,Normal,Mercado,Mercado,30295.02114449512
2027-01,1,Normal,Mercado,Juan Pablo II,181674.16186411178
2027-01,1,Normal,Mercado,Diagonal Biobío,133324.7924149257
2027-01,1,Normal,Mercado,Alborada,53832.59824487757
2027-01,1,Normal,Mercado,Costa Mar,261403.49822488351
2027-01,1,Normal,Mercado,El Parque,141548.35127046236
2027-01,1,Normal,Mercado,Lomas Coloradas,277721.475319826
2027-01,1,Normal,Mercado,C. Raúl Silva H.,256463.77409990155
2027-01,1,Normal,Mercado,Hito Galvarino,191145.96053471917
2027-01,1,Normal,Mercado,Los Canelos,350840.3084836436
2027-01,1,Normal,Mercado,Huinca,151703.14083656663
2027-01,1,Normal,Mercado,Cristo Redentor,273774.55766088265
2027-01,1,Normal,Mercado,Laguna Quiñenco,245597.27552128318
2027-01,1,Normal,Mercado,Intermodal Coronel,491173.5535917363
2027-01,1,Normal,Mercado,Pasajero Lota,0.0
2027-01,1,Normal,Mercado,Concepción Centro,0.0
2027-01,1,Normal,Juan Pablo II,Hualqui,303883.1758741368
2027-01,1,Normal,Juan Pablo II,La Leonera,197091.97027429653
2027-01,1,Normal,Juan Pablo II,Manquimávida,194691.90229625595
2027-01,1,Normal,Juan Pablo II,Pedro Medina,150067.1933513945
2027-01,1,Normal,Juan Pablo II,Chiguayante,174684.38264491287
